clade_name	clade_taxid	SRR6784512_metaphlan	SRR6784531_metaphlan	SRR6784521_metaphlan	SRR6784526_metaphlan	SRR6784543_metaphlan	SRR6784517_metaphlan	SRR6784513_metaphlan	SRR6784414_metaphlan	SRR6784516_metaphlan	SRR6784403_metaphlan	SRR6784577_metaphlan	SRR6784570_metaphlan	SRR6784534_metaphlan	SRR6784595_metaphlan	SRR6784528_metaphlan	SRR6784585_metaphlan	SRR6784560_metaphlan	SRR6784561_metaphlan	SRR6784540_metaphlan	SRR6784520_metaphlan	SRR6784598_metaphlan	SRR6784574_metaphlan	SRR6784525_metaphlan	SRR6784535_metaphlan	SRR6784527_metaphlan	SRR6784553_metaphlan	SRR6784583_metaphlan	SRR6784589_metaphlan	SRR6784569_metaphlan	SRR6784510_metaphlan	SRR6784537_metaphlan	SRR6784523_metaphlan	SRR6784536_metaphlan	SRR6784566_metaphlan	SRR6784405_metaphlan	SRR6784410_metaphlan	SRR6784556_metaphlan	SRR6784576_metaphlan	SRR6784571_metaphlan	SRR6784575_metaphlan	SRR6784573_metaphlan	SRR6784578_metaphlan	SRR6784511_metaphlan	SRR6784411_metaphlan	SRR6784406_metaphlan	SRR6784544_metaphlan	SRR6784596_metaphlan	SRR6784591_metaphlan	SRR6784550_metaphlan	SRR6784552_metaphlan	SRR6784529_metaphlan	SRR6784597_metaphlan	SRR6784563_metaphlan	SRR6784514_metaphlan	SRR6784592_metaphlan	SRR6784413_metaphlan	SRR6784594_metaphlan	SRR6784568_metaphlan	SRR6784587_metaphlan	SRR6784586_metaphlan	SRR6784593_metaphlan	SRR6784567_metaphlan	SRR6784519_metaphlan	SRR6784524_metaphlan	SRR6784590_metaphlan	SRR6784515_metaphlan	SRR6784546_metaphlan	SRR6784565_metaphlan	SRR6784539_metaphlan	SRR6784582_metaphlan	SRR6784584_metaphlan	SRR6784564_metaphlan	SRR6784532_metaphlan	SRR6784580_metaphlan	SRR6784555_metaphlan	SRR6784549_metaphlan	SRR6784412_metaphlan	SRR6784542_metaphlan	SRR6784409_metaphlan	SRR6784557_metaphlan	SRR6784538_metaphlan	SRR6784562_metaphlan	SRR6784554_metaphlan	SRR6784408_metaphlan	SRR6784522_metaphlan	SRR6784559_metaphlan	SRR6784547_metaphlan	SRR6784572_metaphlan	SRR6784588_metaphlan	SRR6784581_metaphlan	SRR6784530_metaphlan	SRR6784545_metaphlan	SRR6784404_metaphlan	SRR6784558_metaphlan	SRR6784579_metaphlan	SRR6784518_metaphlan	SRR6784533_metaphlan	SRR6784548_metaphlan	SRR6784551_metaphlan	SRR6784541_metaphlan
k__Archaea	2157	5103120.0	0	0	215.0	0	0	0	471.0	0	0	14375.0	0	84603.0	0	0	4166.0	0	188839.0	0	0	0	0	0	0	0	0	0	6104.0	4529.0	0	6185.0	423.0	10241.0	16661.0	0	0	344.0	86781.0	0	0	7115.0	0	0	18185.0	0	316881.0	0	260.0	0	7364.0	0	0	9071.0	0	0	474.0	0	11630.0	15170.0	11746.0	0	0	0	0	0	1803.0	9070.0	0	0	0	15381.0	0	0	0	0	0	0	78.0	0	0	0	195202.0	0	3107.0	2700.0	4597.0	10148.0	0	8811.0	8468.0	0	0	0	3719.0	0	0	4419.0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0	0	0	0	0	0	0	0	0	0	0	0	82590.0	0	0	0	0	136342.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344.0	8953.0	0	0	0	0	0	16322.0	0	472.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11746.0	0	0	0	0	0	0	0	0	0	0	5386.0	0	0	0	0	0	0	0	0	0	0	161644.0	0	0	0	0	0	0	810.0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	2157|2283796|183967	0	0	0	0	0	0	0	0	0	0	0	0	82590.0	0	0	0	0	136342.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344.0	8953.0	0	0	0	0	0	16322.0	0	472.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11746.0	0	0	0	0	0	0	0	0	0	0	5386.0	0	0	0	0	0	0	0	0	0	0	161644.0	0	0	0	0	0	0	810.0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	2157|2283796|183967|1235850	0	0	0	0	0	0	0	0	0	0	0	0	82590.0	0	0	0	0	136342.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344.0	8953.0	0	0	0	0	0	16322.0	0	472.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11746.0	0	0	0	0	0	0	0	0	0	0	5386.0	0	0	0	0	0	0	0	0	0	0	161644.0	0	0	0	0	0	0	810.0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	2157|2283796|183967|1235850|1577788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136342.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344.0	8953.0	0	0	0	0	0	16322.0	0	472.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11746.0	0	0	0	0	0	0	0	0	0	0	5386.0	0	0	0	0	0	0	0	0	0	0	161644.0	0	0	0	0	0	0	810.0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__GGB260	2157|2283796|183967|1235850|1577788|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16322.0	0	472.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11746.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810.0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__GGB260|s__GGB260_SGB362	2157|2283796|183967|1235850|1577788||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16322.0	0	472.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11746.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810.0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__GGB260|s__GGB260_SGB362|t__SGB362	2157|2283796|183967|1235850|1577788|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16322.0	0	472.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11746.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810.0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	2157|2283796|183967|1235850|1577788|1080709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136342.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344.0	8953.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5386.0	0	0	0	0	0	0	0	0	0	0	161644.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Candidatus_Methanomassiliicoccus_intestinalis	2157|2283796|183967|1235850|1577788|1080709|1406512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136342.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344.0	8953.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5386.0	0	0	0	0	0	0	0	0	0	0	161644.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
